forage,price,profession,spring,summer,fall,winter,backwoods,beach,bus stop,bushes,cindersnap forest,desert,farm cave,forest farm,ginger island,mines,mountain,pelican town,railroad,secret woods,soil,trees
Jelly (Spice Berry),210,Artisan,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
Sweet Pea,50,,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
Red Mushroom,75,,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Fiddlehead Fern,90,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Juice (Fiddlehead Fern),202,Artisan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wild Plum,80,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
Wine (Wild Plum),240,Artisan,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
Jelly (Wild Plum),210,Artisan,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
Hazelnut,90,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Juice (Hazelnut),202,Artisan,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Pickled (Hazelnut),230,Artisan,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Blackberry,20,,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Wine (Blackberry),60,Artisan,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Jelly (Blackberry),90,Artisan,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Chanterelle,160,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Pickled (Chanterelle),370,Artisan,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Purple Mushroom,250,,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Pickled (Purple Mushroom),550,Artisan,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Winter Root,70,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Juice (Winter Root),157,Artisan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pickled (Winter Root),190,Artisan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crystal Fruit,150,,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Wine (Crystal Fruit),450,Artisan,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Jelly (Crystal Fruit),350,Artisan,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Snow Yam,100,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Juice (Snow Yam),225,Artisan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pickled (Snow Yam),250,Artisan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crocus,60,,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Holly,80,,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Nautilus Shell,120,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral,80,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Urchin,160,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainbow Shell,300,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clam,50,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cockle,50,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mussel,30,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oyster,40,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seaweed,20,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cave Carrot,25,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Juice (Cave Carrot),56,Artisan,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pickled (Cave Carrot),100,Artisan,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cactus Fruit,75,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wine (Cactus Fruit),225,Artisan,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jelly (Cactus Fruit),200,Artisan,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coconut,100,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wine (Coconut),300,Artisan,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jelly (Coconut),250,Artisan,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ginger,60,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juice (Ginger),135,Artisan,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pickled (Ginger),170,Artisan,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Magma Cap,400,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pickled (Magma Cap),850,Artisan,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
